id,ts,temp
140,"2026-01-26 09:34:08",67.13
141,"2026-01-26 09:34:18",0.0
142,"2026-01-26 09:34:28",0.0
143,"2026-01-26 09:34:38",0.0
144,"2026-01-26 09:34:49",143.2
145,"2026-01-26 09:34:59",50.21
146,"2026-01-26 09:35:09",10.32
147,"2026-01-26 09:35:19",52.38
148,"2026-01-26 09:35:29",29.9
149,"2026-01-26 09:35:39",39.97
150,"2026-01-26 09:35:49",0.0
151,"2026-01-26 09:35:59",56.89
152,"2026-01-26 09:36:09",0.0
153,"2026-01-26 09:36:19",103.63
154,"2026-01-26 09:36:29",0.0
155,"2026-01-26 09:36:39",25.79
156,"2026-01-26 09:36:50",0.0
157,"2026-01-26 09:37:00",93.72
158,"2026-01-26 09:37:10",74.95
159,"2026-01-26 09:37:20",0.0
160,"2026-01-26 09:37:30",0.0
161,"2026-01-26 09:37:40",73.49
162,"2026-01-26 09:37:50",10.32
163,"2026-01-26 09:38:00",25.3
164,"2026-01-26 09:38:10",89.53
165,"2026-01-26 09:38:20",0.0
166,"2026-01-26 09:38:30",95.25
167,"2026-01-26 09:38:41",101.86
168,"2026-01-26 09:38:51",79.54
169,"2026-01-26 09:39:01",0.0
170,"2026-01-26 09:39:11",33.12
171,"2026-01-26 09:39:21",0.0
172,"2026-01-26 09:39:31",78.57
173,"2026-01-26 09:39:41",64.55
174,"2026-01-26 09:39:51",100.65
175,"2026-01-26 09:40:01",20.07
176,"2026-01-26 09:40:11",11.6
177,"2026-01-26 09:40:22",0.0
178,"2026-01-26 09:40:32",71.0
179,"2026-01-26 09:40:42",1.37
180,"2026-01-26 09:40:52",0.0
181,"2026-01-26 09:41:02",0.0
182,"2026-01-26 09:41:12",29.66
183,"2026-01-26 09:41:22",89.45
184,"2026-01-26 09:41:32",85.02
185,"2026-01-26 09:41:42",0.0
186,"2026-01-26 09:41:53",120.64
187,"2026-01-26 09:42:03",0.0
188,"2026-01-26 09:46:31",0.0
189,"2026-01-26 09:46:44",0.0
190,"2026-01-26 09:46:56",0.0
191,"2026-01-26 09:47:08",0.0
192,"2026-01-26 09:47:20",0.0
193,"2026-01-26 09:47:32",0.0
194,"2026-01-26 09:47:44",0.0
195,"2026-01-26 09:47:56",0.0
196,"2026-01-26 09:48:09",0.0
197,"2026-01-26 09:48:21",0.0
198,"2026-01-26 09:48:33",0.0
199,"2026-01-26 09:48:45",0.0
200,"2026-01-26 09:48:57",0.0
201,"2026-01-26 09:49:09",0.0
202,"2026-01-26 09:49:21",0.0
203,"2026-01-26 09:49:33",0.0
204,"2026-01-26 09:49:46",0.0
205,"2026-01-26 09:50:10",0.0
206,"2026-01-26 09:50:22",0.0
207,"2026-01-26 09:50:34",0.0
208,"2026-01-26 09:50:47",0.0
209,"2026-01-26 09:50:59",0.0
210,"2026-01-26 09:51:11",0.0
211,"2026-01-26 09:51:23",0.0
212,"2026-01-26 09:51:35",0.0
213,"2026-01-26 09:51:47",0.0
214,"2026-01-26 09:52:00",0.0
215,"2026-01-26 09:52:12",0.0
216,"2026-01-26 09:52:24",0.0
217,"2026-01-26 09:52:36",0.0
218,"2026-01-26 09:52:48",0.0
219,"2026-01-26 09:53:00",0.0
220,"2026-01-26 09:53:12",0.0
221,"2026-01-26 09:53:24",0.0
222,"2026-01-26 09:53:37",0.0
223,"2026-01-26 09:53:49",0.0
224,"2026-01-26 09:54:01",0.0
225,"2026-01-26 09:54:13",0.0
226,"2026-01-26 09:54:25",0.0
227,"2026-01-26 09:54:37",0.0
228,"2026-01-26 09:54:49",0.0
229,"2026-01-26 09:55:02",0.0
230,"2026-01-26 09:55:14",0.0
231,"2026-01-26 09:55:26",0.0
232,"2026-01-26 09:55:38",0.0
233,"2026-01-26 09:55:50",0.0
234,"2026-01-26 09:56:03",0.0
235,"2026-01-26 09:56:15",0.0
236,"2026-01-26 09:56:27",0.0
237,"2026-01-26 09:56:39",0.0
238,"2026-01-26 09:56:51",0.0
239,"2026-01-26 09:57:03",0.0
240,"2026-01-26 09:57:15",0.0
241,"2026-01-26 09:57:27",0.0
242,"2026-01-26 09:57:40",0.0
243,"2026-01-26 09:57:52",0.0
244,"2026-01-26 09:58:04",0.0
245,"2026-01-26 09:58:16",0.0
246,"2026-01-26 09:58:43",0.0
247,"2026-01-26 09:58:54",0.0
248,"2026-01-26 09:59:05",0.0
249,"2026-01-26 09:59:16",0.0
250,"2026-01-26 09:59:27",0.0
251,"2026-01-26 09:59:39",0.0
252,"2026-01-26 09:59:50",0.0
253,"2026-01-26 10:00:01",0.0
254,"2026-01-26 10:00:12",0.0
255,"2026-01-26 10:00:23",0.0
256,"2026-01-26 10:00:34",0.0
257,"2026-01-26 10:00:58",0.0
258,"2026-01-26 10:01:10",0.0
259,"2026-01-26 10:01:22",0.0
260,"2026-01-26 10:01:34",0.0
261,"2026-01-26 10:01:46",0.0
262,"2026-01-26 10:01:58",0.0
263,"2026-01-26 10:02:10",0.0
264,"2026-01-26 10:02:22",0.0
265,"2026-01-26 10:02:34",0.0
266,"2026-01-26 10:02:47",0.0
267,"2026-01-26 10:02:59",0.0
268,"2026-01-26 10:03:11",0.0
269,"2026-01-26 10:03:23",0.0
270,"2026-01-26 10:03:35",0.0
271,"2026-01-26 10:03:47",0.0
272,"2026-01-26 10:03:59",0.0
273,"2026-01-26 10:04:12",0.0
274,"2026-01-26 10:04:24",0.0
275,"2026-01-26 10:04:36",0.0
276,"2026-01-26 10:04:48",0.0
277,"2026-01-26 10:05:00",0.0
278,"2026-01-26 10:05:12",0.0
279,"2026-01-26 10:05:24",0.0
280,"2026-01-26 10:05:36",0.0
281,"2026-01-26 10:05:49",0.0
282,"2026-01-26 10:06:01",0.0
283,"2026-01-26 10:06:13",0.0
